author,books,genres,subgenres,classic,narrator
Suzanne Collins,"['The Hunger Games', 'Catching Fire', 'Mockingjay', 'SAMPLER ONLY: Catching Fire (The Hunger Games, #2)']","['Fantasy', 'Science Fiction', 'Romance']",['Post Apocalyptic'],no,first-person
J.K. Rowling,"['Harry Potter and the Order of the Phoenix', ""Harry Potter and the Sorcerer's Stone"", 'Harry Potter and the Deathly Hallows', 'Harry Potter and the Prisoner of Azkaban', 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Half-Blood Prince', 'Harry Potter and the Chamber of Secrets', 'Fantastic Beasts and Where to Find Them: The Original Screenplay', 'Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)', 'Fantastic Beasts - The Crimes of Grindelwald: The Original Screenplay', 'Hogwarts: An Incomplete and Unreliable Guide', 'Short Stories from Hogwarts of Heroism, Hardship and Dangerous Hobbies', 'Short Stories from Hogwarts of Power, Politics and Pesky Poltergeists']",['Fantasy'],"['Magic', 'Historical Fiction']",classic,omniscent
Jane Austen,"['Pride and Prejudice', 'The Complete Novels', 'Mansfield Park', 'Northanger Abbey', 'Persuasion', 'Emma', ""Sanditon: Jane Austen's Last Novel Completed"", 'Lady Susan', 'Catharine and Other Writings', 'Jane Austen: The Complete Collection']",['Romance'],"['Historical Fiction', 'Historical Romance']",classic,third-person
Stephenie Meyer,"['Twilight', 'Midnight Sun [2008 Draft]', 'The Host', 'Eclipse', 'Breaking Dawn', 'New Moon', 'Midnight Sun']","['Fantasy', 'Romance', 'Science Fiction']","['Vampires', 'Paranormal', 'Paranormal Romance', 'Urban Fantasy']",no,third-person
Margaret Mitchell,['Gone with the Wind'],['Romance'],"['Historical Fiction', 'Historical Romance']",classic,omniscent
John Green ,"['The Fault in Our Stars', 'Looking for Alaska', 'Paper Towns', 'An Abundance of Katherines', 'Will Grayson, Will Grayson', 'Turtles All the Way Down', 'Let it Snow']",['Romance'],['Realistic Fiction'],no,third-person
Douglas Adams,"[""The Hitchhiker's Guide to the Galaxy"", 'The Restaurant at the End of the Universe', ""Dirk Gently's Holistic Detective Agency"", 'Life, the Universe and Everything', 'The Long Dark Tea-Time of the Soul', 'So Long, and Thanks for All the Fish', 'Mostly Harmless', 'The Salmon of Doubt', 'The Original Hitchhiker Radio Scripts']","['Science Fiction', 'Fantasy']","['Comedy', 'Time Travel']",classic,third-person
Emily Bronte,['Wuthering Heights'],['Romance'],['Historical Fiction'],classic,third-person
Arthur Golden,['Memoirs of a Geisha'],['Romance'],['Historical Fiction'],classic,first-person
Charlotte Bronte,"['Jane Eyre', 'Villette', 'Shirley', 'The Professor']",['Romance'],['Historical Fiction'],classic,third-person
Victor Hugo,"['Les Miserables', 'The Hunchback of Notre-Dame', 'The Man Who Laughs', 'The Toilers of the Sea']",['Romance'],['Historical Fiction'],classic,first-person
Veronica Roth ,"['Divergent', 'Insurgent', 'Allegiant', ""Inside Divergent: The Initiate's World"", 'Carve the Mark', 'The Fates Divide']","['Fantasy', 'Science Fiction', 'Romance']","['Post Apocalyptic', 'Space']",no,third-person
Stephen Chbosky,['The Perks of Being a Wallflower'],['Romance'],['Realistic Fiction'],classic,first-person
F. Scott Fitzgerald,"['The Great Gatsby', 'This Side of Paradise', 'The Beautiful and Damned']",['Romance'],['Historical Fiction'],classic,third-person
Cassandra Clare ,"['City of Bones', 'Clockwork Angel', 'Clockwork Princess', 'Clockwork Prince', 'City of Fallen Angels', 'City of Lost Souls', 'City of Heavenly Fire', 'City of Glass', 'City of Ashes', 'Lady Midnight', 'Lord of Shadows', 'Queen of Air and Darkness', 'Chain of Gold', 'Welcome to Shadowhunter Academy', 'What Really Happened in Peru', 'The Red Scrolls of Magic', 'The Rise of the Hotel Dumort', 'The Fall of the Hotel Dumort', 'Saving Raphael Santiago']","['Fantasy', 'Romance']","['Paranormal', 'Urban Fantasy', 'Vampires', 'Magic', 'Historical Fiction']",no,third-person
Audrey Niffenegger ,"[""The Time Traveler's Wife"", 'Her Fearful Symmetry']","['Romance', 'Fantasy', 'Science Fiction']","['Time Travel', 'Paranormal']",no,first-person
Bram Stoker,['Dracula'],"['Horror', 'Fantasy']","['Vampires', 'Paranormal']",classic,omniscent
Gabriel Garcia Marquez,"['One Hundred Years of Solitude', 'Love in the Time of Cholera', 'Of Love and Other Demons']","['Fantasy', 'Romance']",['Historical Fiction'],classic,omniscent
William Goldman,['The Princess Bride'],"['Fantasy', 'Romance']",['Comedy'],classic,third-person
Rick Riordan ,"['The Lightning Thief', 'The Last Olympian', 'The Battle of the Labyrinth', ""The Titan's Curse"", 'The Sea of Monsters', 'The Lost Hero', 'The Son of Neptune', 'The Mark of Athena', 'The House of Hades', 'The Red Pyramid', 'The Blood of Olympus', 'The Throne of Fire', ""The Serpent's Shadow"", 'The Sword of Summer', 'The Hidden Oracle', 'The Hammer of Thor', 'The Son of Sobek', 'The Staff of Serapis', 'The Dark Prophecy', 'The Crown of Ptolemy', ""The Tyrant's Tomb"", 'Vespers Rising', 'The Burning Maze', 'The Ship of the Dead']","['Fantasy', 'Romance']","['Urban Fantasy', 'Magic', 'Historical Fiction']",no,third-person
Frances Hodgson Burnett,"['The Secret Garden', 'A Fair Barbarian', 'The Making of a Marchioness']","['Fantasy', 'Romance']","['Historical Fiction', 'Historical Romance']",classic,third-person
Madeleine L'Engle,"['A Wrinkle in Time', 'A Swiftly Tilting Planet', 'Many Waters', 'A Ring of Endless Light', 'An Acceptable Time']","['Fantasy', 'Science Fiction', 'Romance']","['Time Travel', 'Realistic Fiction']",classic,omniscent
George R.R. Martin,"['A Game of Thrones', 'A Storm of Swords', 'A Clash of Kings', 'A Feast for Crows', 'A Dance with Dragons', 'A Storm of Swords: Blood and Gold', 'A Storm of Swords: Steel and Snow', 'Fire & Blood', 'A Dance with Dragons: Dreams and Dust', 'A Dance with Dragons 2: After the Feast', 'Fevre Dream', 'The Armageddon Rag', 'The Hedge Knight', 'Tuf Voyaging', ""Hunter's Run"", 'Dreamsongs, Volume I', 'The Ice Dragon']","['Fantasy', 'Horror', 'Science Fiction']","['Epic Fantasy', 'High Fantasy', 'Magic', 'Vampires', 'Historical Fiction', 'Paranormal', 'Urban Fantasy', 'Historical Fantasy', 'Space']",no,third-person
Maurice Sendak,['Where the Wild Things Are'],['Fantasy'],['Monsters'],classic,first-person
Homer,"['The Odyssey', 'The Iliad/The Odyssey', 'The Iliad']",['Fantasy'],['Historical Fiction'],classic,first-person
Sara Gruen ,"['Water for Elephants', ""At the Water's Edge""]",['Romance'],['Historical Fiction'],no,third-person
Kurt Vonnegut Jr.,"['Slaughterhouse-Five', 'Breakfast of Champions', 'Mother Night', 'Galapagos', 'Slapstick, or Lonesome No More!', 'Timequake']","['Science Fiction', 'Fantasy']","['Historical Fiction', 'Time Travel', 'Comedy', 'Post Apocalyptic']",classic,third-person
Ken Follett ,"['The Pillars of the Earth', 'World Without End', 'A Dangerous Fortune', 'A Column of Fire', 'The Third Twin', 'Night Over Water', 'Lie Down with Lions', 'A Place Called Freedom']","['Fantasy', 'Romance', 'Science Fiction']",['Historical Fiction'],no,third-person
