,saga,books,number,finished
0,The Hunger Games,"['The Hunger Games', 'Catching Fire', 'Mockingjay']",3,Yes
1,Harry Potter,"['Harry Potter and the Order of the Phoenix', ""Harry Potter and the Sorcerer's Stone"", 'Harry Potter and the Deathly Hallows', 'Harry Potter and the Prisoner of Azkaban', 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Half-Blood Prince', 'Harry Potter and the Chamber of Secrets', 'Harry Potter and the Cursed Child: Parts One and Two']",8,No
2,The Twilight Saga,"['Twilight', 'Eclipse', 'Breaking Dawn', 'New Moon', 'Midnight Sun']",5,No
3,The Hitchhiker's Guide to the Galaxy,"[""The Hitchhiker's Guide to the Galaxy"", 'The Restaurant at the End of the Universe', 'Life, the Universe and Everything', 'So Long, and Thanks for All the Fish', 'Mostly Harmless']",5,Yes
4,Divergent,"['Divergent', 'Insurgent', 'Allegiant']",3,Yes
5,The Mortal Instruments,"['City of Bones', 'City of Fallen Angels', 'City of Lost Souls', 'City of Heavenly Fire', 'City of Glass', 'City of Ashes']",6,Yes
6,Dracula,['Dracula'],1,No
7,Percy Jackson and the Olympians,"['The Lightning Thief', 'The Last Olympian', 'The Battle of the Labyrinth', ""The Titan's Curse"", 'The Sea of Monsters']",5,No
8,Time Quintet,"['A Wrinkle in Time', 'A Swiftly Tilting Planet', 'Many Waters', 'An Acceptable Time']",4,Yes
9,A Song of Ice and Fire,"['A Game of Thrones', 'A Storm of Swords', 'A Clash of Kings', 'A Feast for Crows', 'A Dance with Dragons']",5,No
10,Kingsbridge,"['The Pillars of the Earth', 'World Without End', 'A Column of Fire']",3,No
11,Little Women,"['Little Women', ""Jo's Boys""]",2,Yes
12,Outlander,"['Outlander', 'Dragonfly in Amber', 'Voyager', 'Drums of Autumn', 'A Breath of Snow and Ashes', 'The Fiery Cross', 'An Echo in the Bone', ""Written in My Own Heart's Blood""]",8,Yes
13,Vampire Academy,"['Vampire Academy', 'Shadow Kiss', 'Frostbite', 'Blood Promise', 'Last Sacrifice', 'Spirit Bound']",6,No
14,The Notebook,"['The Notebook', 'The Wedding']",2,No
15,The Vampire Chronicles,"['Interview with the Vampire', 'The Vampire Lestat', 'The Queen of the Damned', 'Memnoch the Devil', 'The Vampire Armand', 'The Tale of the Body Thief', 'Blackwood Farm', 'Blood And Gold', 'Merrick', 'Blood Canticle', 'Prince Lestat', 'Prince Lestat and the Realms of Atlantis', 'Blood Communion']",13,No
16,The Infernal Devices,"['Clockwork Angel', 'Clockwork Princess', 'Clockwork Prince']",3,No
17,The Kingkiller Chronicle,"['The Name of the Wind', ""The Wise Man's Fear""]",2,No
18,The Shining,"['The Shining', 'Doctor Sleep']",2,Yes
19,The Inheritance Cycle,"['Eragon', 'Eldest', 'Brisingr', 'Inheritance']",4,No
20,El cementerio de los libros olvidados,"['The Shadow of the Wind', ""The Angel's Game"", 'The Prisoner of Heaven']",3,Yes
21,"Hush, Hush","['Hush, Hush', 'Crescendo', 'Silence', 'Finale']",4,No
22,American Gods,['American Gods'],1,No
23,The Chronicles of Narnia (Publication Order),"['The Lion, the Witch and the Wardrobe']",1,No
24,Oz,"['The Wonderful Wizard of Oz', 'The Marvelous Land of Oz', 'Ozma of Oz', 'The Magic of Oz']",4,Yes
25,Avalon,"['The Mists of Avalon', 'The Forest House', 'Priestess of Avalon', 'Lady of Avalon', ""Marion Zimmer Bradley's Ancestors of Avalon""]",5,Yes
26,The Maze Runner,"['The Maze Runner', 'The Scorch Trials', 'The Death Cure', 'The Kill Order', 'The Fever Code']",5,Yes
27,Fifty Shades,"['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']",3,No
28,Earth's Children,"['The Clan of the Cave Bear', 'The Valley of Horses', 'The Mammoth Hunters', 'The Shelters of Stone', 'The Plains of Passage', 'The Land of Painted Caves']",6,No
29,The Wicked Years,"['Wicked: The Life and Times of the Wicked Witch of the West', 'Out of Oz', 'A Lion Among Men']",3,No
30,The Plantagenet and Tudor Novels,"['The Other Boleyn Girl', 'The Constant Princess', ""The Queen's Fool"", 'The White Queen', 'The Other Queen', 'The Lady of the Rivers', 'The Boleyn Inheritance', 'The Red Queen', 'The White Princess', ""The Kingmaker's Daughter"", ""The Virgin's Lover""]",11,Yes
31,Fallen,"['Fallen', 'Torment', 'Passion', 'Rapture', 'Unforgiven']",5,Yes
32,The Heroes of Olympus,"['The Lost Hero', 'The Son of Neptune', 'The Mark of Athena', 'The House of Hades', 'The Blood of Olympus']",5,Yes
33,Throne of Glass,"['Throne of Glass', 'Crown of Midnight', 'Heir of Fire', 'Queen of Shadows', 'Empire of Storms', 'Kingdom of Ash', 'Tower of Dawn']",7,Yes
34,The Wolves of Mercy Falls,"['Shiver', 'Linger', 'Forever']",3,Yes
35,Uglies,"['Uglies', 'Pretties', 'Specials', 'Extras']",4,No
36,Ella Enchanted,"['Ella Enchanted', 'Fairest']",2,No
37,House of Night,"['Marked', 'Betrayed', 'Untamed', 'Chosen', 'Hunted', 'Tempted', 'Burned', 'Awakened', 'Destined', 'Hidden', 'Redeemed', 'Revealed']",12,No
38,Del Valle Family,"['The House of the Spirits', 'Daughter of Fortune', 'Portrait in Sepia']",3,No
39,Howl's Moving Castle,"[""Howl's Moving Castle"", 'House of Many Ways', 'Castle in the Air']",3,Yes
40,Delirium,"['Delirium', 'Requiem']",2,No
41,Beautiful,"['Beautiful Disaster', 'Walking Disaster']",2,Yes
42,"London Below, The World of Neverwhere",['Neverwhere'],1,No
43,Inkworld,"['Inkheart', 'Inkspell', 'Inkdeath']",3,No
44,Graceling Realm,"['Graceling', 'Fire', 'Bitterblue']",3,No
45,Foundation (Publication Order),"['Foundation', 'Second Foundation', 'Foundation and Empire', 'Foundation and Earth', ""Foundation's Edge"", 'Prelude to Foundation', 'Forward the Foundation']",7,Yes
