Book Title,Author,Publication Year,Genres,Summary,Rating Count,Average Rating,Number of Pages,Best Seller,Film,Saga,Followed by,Preceded by
Dead Cert,Dick Francis,1962.0,"['mystery', 'suspense', 'historical']"," Admiral should have won his race at Maidenhead, but an unexpected fall gave jockey Alan York and his mount the win instead. But Alan recognized sabotage when he saw it, and was not about to let a murderous act go unpunished, even if it meant risking his own life to bring his friend's killers to justice.",2.0,,,No,No,No,,
Journey to the Center of the Earth,Jules Verne,1864.0,"['science', 'childrens', 'romance', 'adventure']"," The story begins on May 1863, in the Lidenbrock house in Hamburg, with Professor Lidenbrock rushing home to peruse his latest purchase, an original runic manuscript of an Icelandic saga written by Snorri Sturluson (""Heimskringla""; the chronicle of the Norwegian kings who ruled over Iceland). While looking through the book, Lidenbrock and his nephew Axel find a coded note written in runic script. (This is a first indication of Verne's love for cryptology. Coded, cryptic or incomplete messages as a plot device will continue to appear in many of his works and in each case Verne goes a long way to explain not only the code used but also the mechanisms used to retrieve the original text.) Lidenbrock and Axel translate the runic characters into Latin letters, revealing a message written in a seemingly bizarre code. Lidenbrock attempts a decipherment, deducing the message to be a kind of transposition cipher; but his results are as meaningless as the original. Professor Lidenbrock decides to lock everyone in the house and force himself and the others (Axel, and the maid, Martha) to go without food until he cracks the code. Axel discovers the answer when fanning himself with the deciphered text: Lidenbrock's decipherment was correct, and only needs to be read backwards to reveal sentences written in rough Latin. Axel decides to keep the secret hidden from Professor Lidenbrock, afraid of what the Professor might do with the knowledge, but after two days without food he cannot stand the hunger and reveals the secret to his uncle. Lidenbrock translates the note, which is revealed to be a medieval note written by the (fictional) Icelandic alchemist Arne Saknussemm, who claims to have discovered a passage to the centre of the Earth via Snæfell in Iceland. In what Axel calls bad Latin, the deciphered message reads: In slightly better Latin, with errors amended: which, when translated into English, reads: Professor Lidenbrock is a man of astonishing impatience, and departs for Iceland immediately, taking his reluctant nephew with him. Axel, who, in comparison, is cowardly and anti-adventurous, repeatedly tries to reason with him, explaining his fears of descending into a volcano and putting forward various scientific theories as to why the journey is impossible, but Professor Lidenbrock repeatedly keeps himself blinded against Axel's point of view. After a rapid journey via Lübeck and Copenhagen, they arrive in Reykjavík, where the two procure the services of Hans Bjelke (a Danish-speaking Icelander eiderdown hunter) as their guide, and travel overland to the base of the volcano. In late June they reach the volcano, which has three craters. According to Saknussemm's message, the passage to the centre of the Earth is through the one crater that is touched by the shadow of a nearby mountain peak at noon. However, the text also states that this is only true during the last days of June. During the next few days, with July rapidly approaching, the weather is too cloudy for any shadows. Axel silently rejoices, hoping this will force his uncle – who has repeatedly tried to impart courage to him only to succeed in making him even more cowardly still – to give up the project and return home. Alas for Axel, however, on the last day, the sun comes out and the mountain peak shows the correct crater to take. After descending into this crater, the three travelers set off into the bowels of the Earth, encountering many strange phenomena and great dangers, including a chamber filled with combustible gas, and steep-sided wells around the ""path."" After taking a wrong turn, they run out of water and Axel almost dies, but Hans taps into a neighboring subterranean river. Lidenbrock and Axel name the resulting stream the ""Hansbach"" in his honor and the three are saved. At another point, Axel becomes separated from the others and is lost several miles from them. Luckily, a strange acoustic phenomenon allows him to communicate with them from some miles away, and they are soon reunited. After descending many miles, following the course of the Hansbach, they reach an unimaginably vast cavern. This underground world is lit by electrically charged gas at the ceiling, and is filled with a very deep subterranean ocean, surrounded by a rocky coastline covered in petrified trees and giant mushrooms. The travelers build a raft out of trees and set sail. The Professor names this sea as the Lidenbrock Sea. Whilst on the water, they see several prehistoric creatures such as a giant Ichthyosaurus, which fights with a Plesiosaurus and wins. After the battle between the monsters, the party comes across an island with a huge geyser, which Lidenbrock names ""Axel's Island."" A lightning storm again threatens to destroy the raft and its passengers, but instead throws them onto the coastline. This part of the coast, Axel discovers, is alive with prehistoric plant and animal life forms, including giant insects and a herd of mastodons. On a beach covered with bones, Axel discovers an oversized human skull. Axel and Lidenbrock venture some way into the prehistoric forest, where Professor Lidenbrock points out, in a shaky voice, a prehistoric human, more than twelve feet in height, leaning against a tree and watching a herd of mastodons. Axel cannot be sure if he has really seen the man or not, and he and Professor Lidenbrock debate whether or not a proto-human civilization actually exists so far underground. The three wonder if the creature is a man-like ape, or an ape-like man. The sighting of the creature is considered the most alarming part of the story, and the explorers decide that it is better not to alert it to their presence as they fear it may be hostile. The travelers continue to explore the coastline, and find a passageway marked by Saknussemm as the way ahead. However, it is blocked by what appears to be a recent cave-in and two of the three, Hans and the Professor, despair at being unable to hack their way through the granite wall. The adventurers plan to blast the rock with gun cotton and paddle out to sea to escape the blast. Upon executing the plan, however, they discover that behind the rockfall was a seemingly bottomless pit, not a passage to the centre of the earth. The travelers are swept away as the sea rushes into the large open gap in the ground. After spending hours being swept along at lightning speeds by the water, the raft ends up inside a large, geyser-acting volcanic chimney filling with water and magma. Terrified, the three are rushed upwards, through stifling heat, and are ejected onto the surface from a side-vent of a stratovolcano acting like a cone geyser until the geyser stops erupting. When they regain consciousness, they discover that they have been ejected from Mount Stromboli, a 926 metre-high stratovolcano located in southern Italy. They return to Hamburg to great acclaim – Professor Lidenbrock is hailed as one of the great scientists of history, Axel marries his sweetheart Gräuben, and Hans eventually returns to his peaceful life in Iceland. The Professor has some regret that their journey was cut short. At the very end of the book, Axel and Lidenbrock realize why their compass was behaving strangely after their journey on the raft. They realize that the needle was pointing the wrong way after being struck by an electric fireball which nearly destroyed the wooden raft.",8.0,9.0,,No,Yes,The Extraordinary Voyages#3,The Adventures of Captain Hatteras,From the Earth to the Moon
The Stolen Lake,Joan Aiken,2000.0,"['childrens', 'historical', 'alternate']"," After her adventures in Nightbirds On Nantucket, Dido Twite is travelling back to England on the HMS Thrush. En route, she befriends the ship's open-minded steward, Holystone. The ship changes course, landing on the coast of New Cumbria. Bound by ancient treaties between Britain and New Cumbria, they are given orders to assist Ginevra, the Queen. Travelling to Bath, the capital city, the crew learn that Ginevra wants them to help her recover a lake, which she claims has been stolen by New Cumbria's neighbour, Lyonesse. It seems that she is the same immortal Ginevra, or Guinevere, of myth and has waited centuries for the return of her king, Arthur. Unfortunately, she has attained immortality by cannibalistic vampirism, murdering and consuming local maidens. It then transpires that Holystone is an incarnation of Arthur, who for a thousand years had lain in suspended animation on an island in the missing lake. But this Arthur is not at all pleased at the monstrosity his ancient spouse has become.",1.0,,272.0,No,No,No,Nightbirds on Nantucket,The Cuckoo Tree
Freaky Friday,Mary Rodgers,1973.0,"['speculative', 'childrens', 'young adult', 'comedy']"," A willful, disorganized teenage girl, Annabelle Andrews, awakens one Friday morning to find herself in the body of her mother, with whom she argued the previous night. Suddenly in charge of taking care of the New York family's affairs and her younger brother Ben (whom Annabelle has not-so-affectionately nicknamed ""Ape Face""), and growing increasingly worried about the disappearance of ""Annabelle"", who appeared to be herself in the morning but has gone missing after leaving the Andrews' home, she enlists the help of her neighbor and childhood friend, Boris, though without telling him about her identity crisis. As the day wears on and Annabelle has a series of increasingly bizarre and frustrating misadventures, she becomes gradually more appreciative of how difficult her mother's life is, and learns, to her surprise, that Ben idolizes her, and Boris is actually named Morris, but has a problem with chronic congestion (at least around Annabelle) leading him to nasally pronounce ms and ns as bs and ds. The novel races towards its climax and Ben also disappears, apparently having gone off with a pretty girl whom Boris did not recognize, but Ben appeared to trust without hesitation. In the climax and dénouement, Annabelle becomes overwhelmed by the difficulties of her situation, apparent disappearance of her mother, loss of the children, and the question of how her odd situation came about and when/whether it will be resolved. Finally, it is revealed that Annabelle's mother herself caused them to switch bodies through some unspecified means, and the mysterious girl who took Ben was Mrs. Andrews in Annabelle's body (to which she is restored) made much more attractive by a makeover Mrs. Andrews gave the body while using it, including the removal of Annabelle's braces, an appointment Annabelle had forgotten about (and would have missed, had she been the one in her body that day). The book (and especially the film adaptations and its second sequel, Summer Switch) might be considered a modern retelling of Vice Versa, the 1882 novel by F. Anstey, in which the protagonists are a father and son.",1.0,7.0,1452.0,No,Yes,No,,A Billion for Boris
Sky Island,L. Frank Baum,1988.0,"['speculative', 'fantasy', 'childrens']"," Trot is near her home on the coast of southern California when she meets a strange little boy with a large umbrella. Button Bright has been using his family's magic umbrella to take long-range journeys from his Philadelphia home, and has gotten as far as California. After an explanation of how the magic umbrella works, the two children, joined by Cap'n Bill, decide to take a trip to a nearby island; they call it ""Sky island,"" because it looks like it's ""halfway in the sky"" &mdash; but the umbrella takes them to a different place entirely, a literal island in the sky. Sky Island is another split-color country in Baum's fantasy universe, like the Land of Oz or the Island of Yew (in The Enchanted Island of Yew, from 1903). Divided in two halves, blue and pink, Sky Island supports two separate and hostile races of beings. The three travellers land on the blue side of Sky Island, which is a grim country ruled by a sadistic tyrant, the Boolooroo of the Blues. In Sky Island, as in Oz, no one can be killed or suffer pain, but that doesn't mean one is safe: the Boolooroo's method of punishing disobedience in his subjects is to split his victims into halves using a huge guillotine-type knife, and then join the wrong halves back together, creating very unhappy asymmetrical mixed people. This is called ""patching."" The Boolooroo threatens to do the same to his new visitors; meanwhile he keeps them imprisoned, and gives Trot as a slave to his daughters, the Six Snubnosed Princesses (named Cerulia, Turquoise, Sapphire, Azure, Cobalt, and Indigo). The three protagonists manage to escape from the Blues; penetrating the Great Fog Bank that separates the island's halves and meeting its strange inhabitants, they reach the pink or ""sunrise"" side of the island. The pink country is a much friendlier and more relaxed place than the blue side, with cheerfully chubby residents. The visitors get a better reception, since they are rather pink in color themselves, albeit of a sadly wan and pale shade. Unfortunately, the laws of the pink country insist that the visitors be thrown off the edge of Sky Island; even the country's ruler, the sylph-like Tourmaline the Poverty Queen, cannot pardon them. Polychrome, however, descends from the rainbow like a deus ex machina to resolve the problem. Trot is promoted to Queen of the Pinkies, because she has the palest skin among them. After Cap'n Bill leads an invasion of the opposite side, Trot becomes ""Booloorooess"" of the Blues as well; and so she is able to ""regulate"" both societies into more sensible forms. The three travellers eventually return to their homes, more than a little relieved at their escape from Sky island. The bipartite structure of Sky Island allows Baum to inject ironic and satiric commentary on xenophobia, isolationism, race and color prejudice, social biases, personal vanity, and related issues. The Blues think that their dismal island-half ""is the Center of the Universe and the only place anyone would care to live."" Their scientists have ""proven"" that the Earth below, a ball of mud and water, cannot support life. The Snubnosed Princesses think that a snub nose is ""the highest mark of female beauty"" and ""an evidence of high breeding which any lady would be proud to possess.""",2.0,6.5,288.0,No,No,No,The Sea Fairies,The Scarecrow of Oz
The Master and Margarita,Mikhail Bulgakov,1987.0,"['speculative', 'romance', 'satire']"," The novel alternates between two settings. The first is 1930s Moscow, which is visited by Satan in the guise of ""Professor"" Woland or Voland (Воланд), a mysterious gentleman ""magician"" of uncertain origin, who arrives with a retinue that includes the grotesquely dressed ""ex-choirmaster"" valet Koroviev (Fagotto) (Фагот, the name means ""bassoon"" in Russian among other languages, from the Italian word fagotto), a mischievous, gun-happy, fast-talking black cat Behemoth (Бегемот, a subversive Puss in Boots, the name referring at once to the Biblical monster and the Russian word for Hippopotamus), the fanged hitman Azazello (Азазелло, hinting of Azazel), the pale-faced Abadonna (Абадонна, a reference to Abaddon) with a death-inflicting stare, and the witch Hella (Гелла). The havoc wreaked by this group targets the literary elite, along with its trade union, MASSOLIT. MASSOLIT is a Soviet-style abbreviation for ""Moscow Association of Writers"", Московская ассоциация литераторов, but possibly interpretable as ""Literature for the Masses""; one translation of the book also mentions that this could be a play on words in Russian, which could be translated into English as something like ""LOTSALIT""), its privileged HQ Griboyedov's House, corrupt social-climbers and their women (wives and mistresses alike) – bureaucrats and profiteers – and, more generally, skeptical unbelievers in the human spirit. The second setting is the Jerusalem of Pontius Pilate, described by Woland talking to Berlioz and later echoed in the pages of the Master's novel. It concerns Pontius Pilate's trial of Yeshua Ha-Notsri (Иешуа га-Ноцри, Jesus the Nazarene), his recognition of an affinity with and spiritual need for Yeshua, and his reluctant but resigned submission to Yeshua's execution. Part one of the novel opens with a direct confrontation between the unbelieving head of the literary bureaucracy, Berlioz (Берлиоз), and an urbane foreign gentleman who defends belief and reveals his prophetic powers (Woland). Berlioz brushes the prophecy of his death off, only to have it come true just pages later in the novel. This fulfillment of a death prophecy is witnessed by a young and enthusiastically modern poet, Ivan Ponyrev, who writes his poems under the alias Bezdomniy (Иван Бездомный – the name means ""Homeless""). His futile attempt to chase and capture the ""gang"" and warn of their evil and mysterious nature lands Ivan in a lunatic asylum. Here, Ivan is later introduced to The Master, an embittered author, the petty-minded rejection of whose historical novel about Pontius Pilate and Christ led him to such despair that he burns his manuscript and turns his back on the ""real"" world, including his devoted lover, Margarita (Маргарита). Major episodes in the first part of the novel include a satirical portrait of the Massolit and their Griboedov house;Satan's magic show at the Variety Theatre, satirizing the vanity, greed and gullibility of the new rich; and Woland and his retinue capturing the late Berlioz's apartment for their own use. Part two of the novel introduces Margarita, the Master's mistress, who refuses to despair of her lover or his work. She is invited to the Devil's midnight ball, where Satan (Woland) offers her the chance to become a witch with supernatural powers. This coincides with the night of Good Friday since the Master's novel also deals with this same spring full moon when Christ's fate is sealed by Pontius Pilate and he is crucified in Jerusalem. All three events in the novel are linked by this. Learning to fly and control her unleashed passions (not without exacting violent retribution on the literary bureaucrats who condemned her beloved to despair), and taking her enthusiastic maid Natasha with her, Margarita enters naked into the realm of night. She flies over the deep forests and rivers of the USSR; bathes and returns with Azazello, her escort, to Moscow as the anointed hostess for Satan's great Spring Ball. Standing by his side, she welcomes the dark celebrities of human history as they arrive from Hell. She survives this ordeal without breaking, and for her pains, Satan offers to grant Margarita her deepest wish. Margarita selflessly chooses to liberate a woman whom she met at the ball from the woman's eternal punishment: the woman was raped and had later suffocated her newborn by stuffing a handkerchief in its mouth. Her punishment was to wake up every morning and find the same handkerchief lying on her nightstand. Satan grants her first wish and offers her another, citing that the first wish was unrelated to Margarita's own desires. For her second wish, she chooses to liberate the Master and live in poverty-stricken love with him. Neither Woland nor Yeshua appreciate her chosen way of life. Azazello is sent to retrieve them. The three drink Pontius Pilate's poisoned wine in the Master's basement. Master and Margarita die, though their death is metaphorical as Azazello watches their physical manifestations die. Azazello reawakens them and they leave civilization with the Devil as Moscow's cupolas and windows burn in the setting Easter sun. The Master and Margarita, for not having lost their faith in humanity, are granted ""peace"" but are denied ""light"" – that is, they will spend eternity together in a shadowy yet pleasant region similar to Dante's depiction of Limbo, having not earned the glories of Heaven, but not deserving the punishments of Hell. As a parallel to the Master and Margarita's freedom, Pontius Pilate is released from his eternal punishment when the Master finally calls out to Pontius Pilate telling him he's free to finally walk up the moonbeam path in his dreams to Yeshua, where another eternity awaits.",31.0,8.166666666666666,,No,Yes,No,,
Animal Farm,George Orwell,1945.0,"['speculative', 'childrens', 'satire']"," Old Major, the old boar on the Manor Farm, calls the animals on the farm for a meeting, where he compares the humans to parasites and teaches the animals a revolutionary song, 'Beasts of England'. When Major dies, two young pigs, Snowball and Napoleon, assume command and turn his dream into a philosophy. The animals revolt and drive the drunken and irresponsible Mr Jones from the farm, renaming it ""Animal Farm"". They adopt Seven Commandments of Animal-ism, the most important of which is, ""All animals are equal"". Snowball attempts to teach the animals reading and writing; food is plentiful, and the farm runs smoothly. The pigs elevate themselves to positions of leadership and set aside special food items, ostensibly for their personal health. Napoleon takes the pups from the farm dogs and trains them privately. Napoleon and Snowball struggle for leadership. When Snowball announces his plans to build a windmill, Napoleon has his dogs chase Snowball away and declares himself leader. Napoleon enacts changes to the governance structure of the farm, replacing meetings with a committee of pigs, who will run the farm. Using a young pig named Squealer as a ""mouthpiece"", Napoleon claims credit for the windmill idea. The animals work harder with the promise of easier lives with the windmill. After a violent storm, the animals find the windmill annihilated. Napoleon and Squealer convince the animals that Snowball destroyed it, although the scorn of the neighbouring farmers suggests that its walls were too thin. Once Snowball becomes a scapegoat, Napoleon begins purging the farm with his dogs, killing animals he accuses of consorting with his old rival. He and the pigs abuse their power, imposing more control while reserving privileges for themselves and rewriting history, villainising Snowball and glorifying Napoleon. Squealer justifies every statement Napoleon makes, even the pigs' alteration of the Seven Commandments of Animalism to benefit themselves. 'Beasts of England' is replaced by an anthem glorifying Napoleon, who appears to be adopting the lifestyle of a man. The animals remain convinced that they are better off than they were when under Mr Jones. Squealer abuses the animals' poor memories and invents numbers to show their improvement. Mr Frederick, one of the neighbouring farmers, attacks the farm, using blasting powder to blow up the restored windmill. Though the animals win the battle, they do so at great cost, as many, including Boxer the workhorse, are wounded. Despite his injuries, Boxer continues working harder and harder, until he collapses while working on the windmill. Napoleon sends for a van to take Boxer to the veterinary surgeon's, explaining that better care can be given there. Benjamin, the cynical donkey, who ""could read as well as any pig"", notices that the van belongs to a knacker, and attempts to mount a rescue; but the animals' attempts are futile. Squealer reports that the van was purchased by the hospital and the writing from the previous owner had not been repainted. He recounts a tale of Boxer's death in the hands of the best medical care. Years pass, and the pigs learn to walk upright, carry whips and wear clothes. The Seven Commandments are reduced to a single phrase: ""All animals are equal, but some animals are more equal than others"". Napoleon holds a dinner party for the pigs and the humans of the area, who congratulate Napoleon on having the hardest-working but least fed animals in the country. Napoleon announces an alliance with the humans, against the labouring classes of both ""worlds"". He abolishes practices and traditions related to the Revolution, and changes the name of the farm to ""The Manor Farm"". The animals, overhearing the conversation, notice that the faces of the pigs have begun changing. During a poker match, an argument breaks out between Napoleon and Mr Pilkington, and the animals realise that the faces of the pigs look like the faces of humans, and no one can tell the difference between them. The pigs Snowball, Napoleon, and Squealer adapt Old Major's ideas into an actual philosophy, which they formally name Animalism. Soon after, Napoleon and Squealer indulge in the vices of humans (drinking alcohol, sleeping in beds, trading). Squealer is employed to alter the Seven Commandments to account for this humanisation, an allusion to the Soviet government's revising of history in order to exercise control of the people's beliefs about themselves and their society. The original commandments are: # Whatever goes upon two legs is an enemy. # Whatever goes upon four legs, or has wings, is a friend. # No animal shall wear clothes. # No animal shall sleep in a bed. # No animal shall drink alcohol. # No animal shall kill any other animal. # All animals are equal. Later, Napoleon and his pigs secretly revise some commandments to clear them of accusations of law-breaking (such as ""No animal shall drink alcohol"" having ""to excess"" appended to it and ""No animal shall sleep in a bed"" with ""with sheets"" added to it). The changed commandments are as follows, with the changes bolded: * 4 No animal shall sleep in a bed with sheets. * 5 No animal shall drink alcohol to excess. * 6 No animal shall kill any other animal without cause. Eventually these are replaced with the maxims, ""All animals are equal, but some animals are more equal than others"", and ""Four legs good, two legs better!"" as the pigs become more human. This is an ironic twist to the original purpose of the Seven Commandments, which were supposed to keep order within Animal Farm by uniting the animals together against the humans, and prevent animals from following the humans' evil habits. Through the revision of the commandments, Orwell demonstrates how simply political dogma can be turned into malleable propaganda.",120.0,8.120689655172415,92.0,No,Yes,No,Inside the Whale and Other Essays,Nineteen Eighty-Four
The Third Policeman,Flann O'Brien,1967.0,"['speculative', 'mystery', 'comedy']"," The Third Policeman is set in rural Ireland and is narrated by a dedicated amateur scholar of de Selby, a scientist and philosopher. The narrator, whose name we never learn, is orphaned at a young age. At boarding school, he discovers the work of de Selby and becomes a fanatically dedicated student of it. One night he breaks his leg under mysterious circumstances – ""if you like, it was broken for me"" – and he is ultimately fitted with a wooden leg to replace the original one. On returning to his family home, he meets and befriends John Divney who is in charge of the family farm and pub. Over the next few years, the narrator devotes himself to the study of de Selby's work and leaves Divney to run the family business. By the time the narrator is thirty, he has written what he believes to be the definitive critical work on de Selby, but does not have enough money to publish the work. Divney observes that Mathers, a local man, ""is worth a packet of potato-meal"" and eventually it dawns on the narrator that Divney plans to rob and kill Mathers. The narrator and Divney encounter Mathers one night on the road and Divney knocks Mathers down with a bicycle pump. The narrator, prompted by Divney, finishes Mathers off with a spade, and then notices that Divney has disappeared with Mathers's cash box. When Divney returns he refuses to reveal where the cash box is, and fends off the narrator's repeated inquiries. To ensure that Divney does not retrieve the box unobserved, the narrator becomes more and more inseparable from Divney, eventually sharing a bed with him: ""the situation was a queer one and neither of us liked it"". Three years pass, in which the previously amicable relationship between the narrator and Divney breaks down. Eventually Divney reveals that the box is hidden under the floorboards in Mathers's old house, and instructs the narrator to fetch it. The narrator follows Divney's instructions but just as he reaches for the box, ""something happened"":It was as if the daylight had changed with unnatural suddenness, as if the temperature of the evening had altered greatly in an instant or as if the air had become twice as rare or twice as dense as it had been in the winking of an eye; perhaps all of these and other things happened together for all my senses were bewildered all at once and could give me no explanation. The box has disappeared, and the narrator is perplexed to notice that Mathers is in the room with him. During a surreal conversation with the apparently deceased Mathers, the narrator hears another voice speaking to him which he realises is his soul: &#34;For convenience I called him Joe.&#34; The narrator is bent on finding the cash box, and when Mathers tells him about a remarkable police barracks nearby he resolves to go to the barracks and enlist the help of the police in finding the box. On the way, he meets a one-legged bandit named Martin Finnucane, who threatens to kill him but who becomes his friend upon finding out that his potential victim is also one-legged. The narrator approaches the police barracks and is disturbed by its appearance:It looked as if it were painted like an advertisement on a board on the roadside and indeed very poorly painted. It looked completely false and unconvincing. Inside the barracks he meets two of the three policemen, Sergeant Pluck and Policeman MacCruiskeen, who speak largely in non sequitur and who are entirely obsessed with bicycles. There he is introduced to various peculiar or irrational concepts, artifacts, and locations, including a contraption that collects sound and converts it to light based on a theory regarding omnium, the fundamental energy of the universe; a vast underground chamber called &#39;Eternity,&#39; where time stands still, mysterious numbers are devoutly recorded and worried about by the policemen; a box from which anything you desire can be produced; and an intricate carved chest containing a series of identical but smaller chests. The infinite nature of this last device causes the narrator great mental and spiritual discomfort. It is later discovered that Mathers has been found dead and eviscerated in a ditch. Joe suspects Martin Finnucane, but to the narrator&#39;s dismay he himself is charged with the crime because he is the most convenient suspect. He argues with Sergeant Pluck that since he is nameless, and therefore, as Pluck observed, &#34;invisible to the law&#34;, he cannot be charged with anything. Pluck is surprised, but after he unsuccessfully attempts to guess the narrator&#39;s name he reasons that since the narrator is nameless he is not really a person, and can therefore be hanged without fear of repercussions:The particular death you die is not even a death (which is an inferior phenomenon at best) only an insanitary abstraction in the backyard[...]. The narrator calls on the help of Finnucane, but his rescue is thwarted by MacCruiskeen riding a bicycle painted an unknown colour which drives those who see it mad. He faces the gallows, but the two policemen are called away by dangerously high readings in the underground chamber. The following day he escapes from the barracks on a bicycle of unusual perfection. As he rides through the countryside, he passes Mathers&#39;s house and sees a light. Disturbed, he enters the house and finally meets the mysterious and reportedly all-powerful third policeman, Fox, who has the face of Mathers. Fox&#39;s secret police station is in the walls of Mathers&#39;s house. He tells the narrator that he is the architect of the readings in the underground chamber, which he alters for his amusement, thereby inadvertently saving the narrator&#39;s life. Fox goes on to tell the narrator that he found the cash box and has sent it to the narrator&#39;s home, where it is waiting for him. He also reveals that the box contains not money but omnium, which can become anything he desires. Divney can see the narrator, although the others cannot, and he has a heart attack from the shock. He shouts that the narrator was supposed to be dead, for the black box was not filled with money but a bomb and it exploded when the narrator reached for it. The narrator leaves Divney on the floor, apparently dying. Feeling &#34;sad, empty and without a thought&#34;, the narrator leaves the house and walks away down the road. He soon approaches the police barracks, the book using exactly the same words to describe the barracks and the narrator&#39;s opinion of it that were used earlier, the story having circled around itself and restarted. This time, John Divney joins the narrator on the road; they neither look at nor speak to each other. They both enter the police station and are confronted by Sergeant Pluck, who repeats his earlier dialogue and ends the book with a reprise of his original greeting to the narrator:""Is it about a bicycle?"" he asked.",1.0,,212.0,No,Yes,No,,
At All Costs,David Weber,2005.0,"['speculative', 'science', 'military']"," Due to the actions of the High Ridge government in War of Honor, which led to a successful attack on key Alliance shipyards by the Republic of Haven, the Star Kingdom of Manticore finds itself decidedly on the short end of the strategic balance between the two warring star nations. Admiral Honor Harrington is placed in command of Eighth Fleet, the Manticoran Alliance's primary offensive force, which is the sole heavy formation available for operations against Haven. Queen Elizabeth and her senior advisors project it will be at least two ""T-years"" (Terran years, i.e. Earth years) before they can expect any significant numbers of new construction to begin bolstering their thin wall of battle; this while Haven's progress under Admirals Theisman and Foraker have given them an even larger force advantage, and smaller technological disparity, than Haven suffered before the beginning of hostilities in Short Victorious War. Strategically, the goal of Honor and Eighth Fleet is to instill enough operational caution and sensitivity to losses in Haven to force redeployments; this would have the desperately needed effect of reducing the available number of ships of the wall Haven would then be able to concentrate for offensive action against the Star Kingdom and its allies. Despite the grave circumstances, the Star Kingdom finds itself spread dangerously thin against its security commitments; to itself and the Alliance. At All Costs climaxes with the largest and most critical battle of the entire series, the Battle of Manticore, as Havenite forces attack the Manticoran home star system. Haven comes close to winning the battle, until Admiral Harrington's Eighth Fleet intervenes, giving Manticore a hard-won victory. Both sides suffer heavy losses, and they are temporarily stalemated. Honor continues to work closely with Hamish Alexander, now First Lord of the Admiralty, on the military and political challenges facing the Alliance. Their professional respect for each other's abilities, and their need for mutual support as they navigate the precarious political landscape in the Star Kingdom, has led them into the very romantic embrace the High Ridge government tried to insinuate during War of Honor. While this is not the dire political crisis it was during the prior Star Kingdom government, it still offers numerous personal and professional difficulties for them. Unfortunately, they find themselves trapped between their emotions and their responsibilities to each other, to the loved ones in their lives, and to the Star Kingdom and the Alliance. The dilemma is resolved when the Reverend of Grayson engineers a polygamous marriage of Honor to Hamish and his crippled wife.",5.0,8.0,864.0,No,No,Honor Harringtonseries,War of Honor,Mission of Honor
Lady of Avalon,Marion Zimmer Bradley,1997.0,"['speculative', 'fantasy', 'historical']"," Lady of Avalon is the sequel to The Forest House and the prequel to The Mists of Avalon. It is divided into 3 parts. The first part shows us Caillean and Gawen (Eilan's son), who we know from the prequel, The Forest House. Caillean assumes the role of High Priestess of Avalon and somewhat a foster mother to Gawen. Gawen is raised as a druid, but from time to time, the Fairy Queen takes him with her to teach him. She also has a daughter, Sianna. The Fairy Queen and Caillean agree that Sianna will be given the teachings of the priestesses of Avalon. Spending their childhood together, Sianna and Gawen have a special bond. By the end of this first part of the book, Gawen and Sianna have become more than just friends. Sianna will bear Gawen's child, though Gawen himself will not live to see his daughter, as he is killed when he tries to protect Avalon from the Christians and a Roman patrol. After these unfortunate events, Caillean calls upon the mists so that Avalon will be inaccessible to anyone who cannot handle the magic to lift the mist. When Caillean grows too old, Sianna assumes the position of High Priestess and her daughter after her, thus starting a lineage of High Priestesses. The second part tells us about High Priestess Dierna. She takes in a new novice of royal blood, named Teleri. When she gets a vision about the new Protector of Britannia, a Roman admiral named Carausius, she forces Teleri, a foreign princess who hoped to become a great priestess, to be wed to the man to keep Dierna in power. Some years later, Carausius gets more and more opposition from all sides. Teleri will flee from her husband and give support to one of his former trustees to become the new High King. Eventually, Dierna and Carausius will find each other and betray Teleri. The High King hunts down Carausius who tries to reach the safety of Avalon and Dierna, but fails to reach it, dying of his wounds at the edge of the lake of Avalon. Some time later, Teleri falls back into the abusive relationship and finds her way back to Avalon, where she is reunited with Dierna and becomes her successor. The third part focuses on Avalon High Priestess Ana and her third daughter, Viviane. Viviane was fostered on a farm, but when she is 14 her mother sends Taliesin the Druid bard to escort her to Avalon. There she completes her training as a priestess, but Ana won't let her go through her initiation, so Viviane continues to remain a novice. This allows her to be the first maiden in centuries to be able to handle the Holy Grail, which is kept by Taliesin's order of Druids. Viviane's temperament takes after Ana's, so their characters often clash. Finally, Viviane is initiated when she becomes Vortimer's lover but returns to Avalon when he dies, where she bears his daughter. Sadly, her child dies three months later. Ana is also pregnant, but birth proves to be difficult at her age. At last Ana and Viviane find forgiveness for each other, but Ana does not survive the birth of her last daughter, Morgause. Luckily, Viviane can nurse Ana's daughter, since her body is still accustomed to breastfeeding her own child. This last part leads us to the storyline of The Mists of Avalon.",34.0,7.722222222222222,464.0,No,No,Avalon Series,The Forest House,Priestess of Avalon
