,User-ID,Location,Age,Country
0,243,"arden hills, minnesota, usa",,usa
1,254,"minneapolis, minnesota, usa",24.0,usa
2,638,"san diego, california, usa",20.0,usa
3,805,"sonoma, california, usa",34.0,usa
4,882,"berkeley, california, usa",23.0,usa
5,1131,"berkeley, ,",22.0,
6,1424,"north avoca, new south wales, australia",,australia
7,1435,"st. louis, missouri, usa",36.0,usa
8,1585,"albuquerque, new mexico, usa",29.0,usa
9,1674,"minneapolis, minnesota, usa",26.0,usa
10,1733,"independence, west virginia, usa",30.0,usa
11,1848,"bellingham, washington, usa",22.0,usa
12,2033,"omaha, nebraska, usa",27.0,usa
13,2110,"charlotte, north carolina, usa",,usa
14,2276,"niskayuna, new york, usa",46.0,usa
15,2288,"spring hill, tennessee, usa",30.0,usa
16,2337,"grove city, ohio, usa",34.0,usa
17,2766,"frisco, texas, usa",42.0,usa
18,2891,"beaverton, oregon, usa",,usa
19,2977,"richland, washington, usa",25.0,usa
20,3145,"austin, texas, usa",34.0,usa
21,3167,"milwaukee, wisconsin, usa",42.0,usa
22,3346,"tehran, tehran, iran",20.0,iran
23,3363,"knoxville, tennessee, usa",29.0,usa
24,3373,"elk grove, california, usa",30.0,usa
25,3817,"columbia, south carolina, usa",29.0,usa
26,3827,"orlando, florida, usa",23.0,usa
27,3917,"toronto, ontario, canada",25.0,canada
28,4017,"new orleans, louisiana, usa",48.0,usa
29,4197,"anchorage, alaska, usa",61.0,usa
30,4334,"rome, lazio, italy",38.0,italy
31,4785,"litchfield, connecticut, usa",30.0,usa
32,5037,"dodge center, minnesota, usa",26.0,usa
33,5499,"lakeland, tennessee,",60.0,
34,5582,"seattle, washington, usa",26.0,usa
35,6073,"houston, texas, usa",28.0,usa
36,6238,"silsden, keighley, west yorkshire, united kingdom",38.0,kingdom
37,6242,"calgary, alberta, canada",,canada
38,6251,"wahiawa, hawaii, usa",32.0,usa
39,6323,"wilmington, north carolina, usa",35.0,usa
40,6532,"new westminster, british columbia, canada",,canada
41,6543,"strafford, missouri, usa",34.0,usa
42,6563,"burien, washington, usa",31.0,usa
43,6575,"seattle, washington, usa",,usa
44,7105,"chertsey, england, united kingdom",,kingdom
45,7125,"apo, ae, usa",28.0,usa
46,7158,"omaha, nebraska, usa",30.0,usa
47,7210,"rothesay, new brunswick, canada",,canada
48,7283,"saint marys, georgia, usa",30.0,usa
49,7286,"pasco, washington, usa",28.0,usa
50,7346,"sunnyvale, california, usa",49.0,usa
51,7841,"salt lake city, utah, usa",,usa
52,7913,"mission hills, california, usa",43.0,usa
53,7915,"st. paul, minnesota, usa",,usa
54,7958,"oeiras, lisbon, portugal",27.0,portugal
55,7980,"cambridge, massachusetts, usa",34.0,usa
56,8019,"toronto, ontario, canada",,canada
57,8066,"chicago, illinois, usa",,usa
58,8067,"owings mills, maryland, usa",26.0,usa
59,8245,"torrance, california, usa",31.0,usa
60,8253,"tulsa, oklahoma, usa",26.0,usa
61,8362,"los angeles, california, usa",28.0,usa
62,8454,"auburndale, massachusetts, usa",,usa
63,8681,"orlando, florida, usa",34.0,usa
64,8695,"redding, california, usa",,usa
65,8734,"chula vista, california, usa",,usa
66,8782,"calgary, alberta, canada",,canada
67,8801,"san francisco, california, usa",24.0,usa
68,8872,"athens, georgia, usa",65.0,usa
69,8936,"elizabeth city, north carolina, usa",18.0,usa
70,8971,"berlin, berlin, germany",27.0,germany
71,9227,"glendora, california, usa",24.0,usa
72,9417,"whitby, ontario, canada",26.0,canada
73,9747,"o`fallon, missouri, usa",,usa
74,9856,"glendale, colorado, usa",22.0,usa
75,10118,"minneapolis, minnesota, usa",44.0,usa
76,10199,"eltham, victoria, australia",17.0,australia
77,10241,"avon, massachusetts, usa",27.0,usa
78,10314,"beaverton, oregon, usa",,usa
79,10354,"martinsburg, west virginia, usa",15.0,usa
80,10447,"chicago, illinois, usa",,usa
81,10560,"chicago, illinois, usa",27.0,usa
82,10660,"luzern, luzern, switzerland",37.0,switzerland
83,10819,"richmond, kentucky, usa",27.0,usa
84,10949,"columbia, tennessee, usa",,usa
85,11224,"tumwater, washington, usa",51.0,usa
86,11245,"scarborough, ontario, canada",,canada
87,11400,"ottawa, ontario, canada",49.0,canada
88,11601,"brooklyn, new york, usa",,usa
89,11629,"houston, texas, usa",21.0,usa
90,11657,"cincinnati, ohio, usa",25.0,usa
91,11718,"reno, nevada, usa",,usa
92,11788,"jenks, oklahoma, usa",30.0,usa
93,11944,"santo tirso, porto, portugal",21.0,portugal
94,11993,"lakewood, colorado, usa",37.0,usa
95,12100,"quezon city, national capital region, philippines",26.0,philippines
96,12538,"byron, minnesota, usa",18.0,usa
97,12824,"long beach, california, usa",18.0,usa
98,12982,"getxo, vizcaya, spain",41.0,spain
99,13273,"harrisburg, pennsylvania, usa",,usa
100,13279,"moodus, connecticut, usa",,usa
101,13551,"raleigh, north carolina, usa",,usa
102,13552,"cordova, tennessee, usa",32.0,usa
103,13582,"lisboa, lisboa, portugal",29.0,portugal
104,13664,"escondido, california, usa",,usa
105,13666,"tinley park, illinois, usa",54.0,usa
106,13682,"monroe, louisiana, usa",31.0,usa
107,13850,"online, n/a, usa",28.0,usa
108,13995,"adelaide, south australia, australia",,australia
109,14079,"valencia, valencia, spain",41.0,spain
110,14387,"coalville, leicestershire, england, united kingdom",35.0,kingdom
111,14422,"apple valley, minnesota, usa",,usa
112,14456,"edmonton, alberta, canada",27.0,canada
113,14521,"providence, rhode island, usa",,usa
114,14667,"rocky mount, missouri, usa",,usa
115,14698,"upstate, new york, usa",,usa
116,15021,"lake mary, florida, usa",37.0,usa
117,15049,"benbrook, texas, usa",28.0,usa
118,15408,"cary, north carolina, usa",34.0,usa
119,15418,"vitoria, álava, spain",23.0,spain
120,15602,"cherry hill, new jersey, usa",21.0,usa
121,15670,"round rock, texas, usa",,usa
122,15819,"grapevine, texas, usa",,usa
123,15945,"charlotte, north carolina, usa",36.0,usa
124,16009,"stratford, new jersey, usa",25.0,usa
125,16010,"carlinville, illinois, usa",,usa
126,16106,"albany, california, usa",44.0,usa
127,16246,"kitakyushu, fukuoka, japan",32.0,japan
128,16263,"ashland, wisconsin, usa",,usa
129,16488,"milwaukee, wisconsin, usa",36.0,usa
130,16504,"kuching, sarawak, malaysia",28.0,malaysia
131,16545,"berkeley, california, usa",,usa
132,16634,"little rock, arkansas, usa",42.0,usa
133,16718,"houston, texas, usa",29.0,usa
134,16795,"mechanicsville, maryland, usa",47.0,usa
135,16908,"chicago, illinois, usa",55.0,usa
136,16916,"hackettstown, new jersey, usa",53.0,usa
137,16966,"waterloo, ontario, canada",41.0,canada
138,16996,"stratford, iowa, usa",23.0,usa
139,17003,"carlsbad, california, usa",,usa
140,17183,"zaragoza, zaragoza, spain",23.0,spain
141,17190,"woodstock, georgia, usa",31.0,usa
142,17667,"iowa city, iowa, usa",33.0,usa
143,17859,"roanoke, virginia, usa",43.0,usa
144,17950,"puchong, selangor, malaysia",32.0,malaysia
145,18067,"kajang, selangor, malaysia",33.0,malaysia
146,18082,"southern, california, usa",38.0,usa
147,18439,"folsom, california, usa",38.0,usa
148,19085,"menomonie, wisconsin, usa",60.0,usa
149,19493,"baldwin, ,",,
150,19664,"katonah, new york, usa",19.0,usa
151,19711,"katy, texas, usa",,usa
152,19842,"***********, illinois, usa",,usa
153,19969,"antelope, california, usa",44.0,usa
154,20060,"baltimore, maryland, usa",48.0,usa
155,20172,"saratoga springs, utah, usa",27.0,usa
156,20180,"sacramento, california, usa",36.0,usa
157,20265,"tampa, florida, usa",29.0,usa
158,20462,"bossier city, louisiana, usa",,usa
159,20680,"los angeles, california, usa",41.0,usa
160,20971,"sacramento, california, usa",20.0,usa
