User-ID,Book-Rating,Book Title
277157,5,City of Bones
277157,6,Balance of Power
277157,5,Saving Faith
277157,7,Perchance to Dream
277157,7,Potshot
277157,7,Bad Business
277157,7,Lost City
277427,8,World's End
277427,10,The Murder Book
277427,9,The Rainmaker
277427,9,Into the Wild
277427,9,Oryx and Crake
277427,8,The Da Vinci Code
277427,9,Lord of the Flies
277427,7,The Partner
277427,9,Gone for Good
277427,8,Freckle Juice
277427,10,The Once and Future King
277427,9,Presumed Innocent
277427,10,The Day After Tomorrow
277427,10,Saving Faith
277427,8,The Snow Queen
277427,8,The Fountainhead
277427,10,24 Hours
277427,10,Doomsday Book
277427,10,The Beekeeper's Apprentice
277427,9,A Monstrous Regiment of Women
277427,10,A Simple Plan
277427,9,A Year in Provence
277427,8,If Only It Were True
277427,8,The Red Badge of Courage
277427,8,The Boat of a Million Years
277427,7,Among the Missing
277523,10,3rd Degree
277523,10,2nd Chance
277523,10,Therapy
277523,10,Second Chance
277523,10,The King of Torts
277523,10,The Last Juror
277523,10,The King of Torts
277523,10,The Jester
277629,4,The Laws of Our Fathers
277629,7,Shardik
277629,8,The Thorn Birds
277629,8,The Runaway Jury
277629,9,Patriot Games
277629,8,The Summons
277629,9,The Gripping Hand
277639,6,Ordinary People
277639,8,Dark Rivers of the Heart
277639,6,Mystic River
277639,5,Hornet's Nest
277639,8,A Time to Kill
277639,9,The Pelican Brief
277639,7,Angel Eyes
277639,8,Koko
277639,7,Fear Nothing
277639,8,Relic
277710,4,Prey
277710,9,Lightning
277710,5,Lost Light
277710,6,The Jester
277710,6,By the Light of the Moon
278026,5,Mystic River
278026,8,The Maze
278026,5,I Is for Innocent
278026,7,Bones
278026,8,Impulse
278026,8,Shadow Game
278026,9,Betrayal
278026,7,Prayers for Rain
278137,9,The Sunne in Splendour
278137,7,Interview with the Vampire
278137,8,The Indian in the Cupboard
278137,9,Julie of the Wolves
278137,7,Message in a Bottle
278137,8,The Proteus Operation
278137,4,Cause Celeb
278137,8,Treasures of the Snow
278137,8,The Joy Luck Club
278137,8,Hart's Hope
278137,9,The Man Nobody Knows
278194,4,Bee Season: A Novel
278194,9,Cold Sassy Tree
278194,7,The King of Torts
278194,5,Quentins
278194,6,Peace Like a River
278202,3,The Sky Is Falling
278202,9,The Long Road Home
278202,3,Summer Sisters
278202,3,The Brethren
278202,5,The Edge
278418,6,Expiration Date
278418,8,The Phantom Tollbooth
278418,9,"Catherine, Called Birdy"
278418,5,Hideaway
278418,5,Dragon Tears
278418,7,Big Trouble
278418,7,Purity in Death
278418,9,The Sign of the Beaver
278418,6,Batman: The Ultimate Evil
278418,7,The Hoboken Chicken Emergency
278418,6,The Pilgrim's Progress
278418,5,Not This August
278418,4,Bad Dreams
278582,8,From Doon With Death
278582,10,The Mists of Avalon
278582,8,I Is for Innocent
278582,8,The Cat Who Brought Down the House
278582,8,Service of All the Dead
278633,10,I Know This Much Is True
278633,5,I'm Not Who You Think I Am
278633,7,Icy Sparks
278633,7,"River, Cross My Heart"
278633,9,Cut
278633,9,Summer Sisters
278633,9,Cold Sassy Tree
278633,6,Before I Wake
278633,8,The Bell Jar
278633,8,Jewel
278633,9,Sole Survivor
278633,9,Tell Me Your Dreams
278843,7,Little Altars Everywhere
278843,9,Icy Sparks
278843,8,Cat's Eye
278843,9,The Bonesetter's Daughter
278843,7,Circle of Friends
278843,8,Lasher
243,10,The Bean Trees
243,7,The God of Small Things
243,7,"River, Cross My Heart"
243,10,Memoirs of a Geisha
243,7,A Map of the World
243,9,Unnatural Exposure
243,7,A Painted House
254,9,The Secret Life of Bees
254,8,The Nonesuch
254,7,Powder and Patch
254,9,Women
254,10,American Gods
254,10,Neverwhere
254,8,Stardust
254,9,The Bonesetter's Daughter
254,8,The Dark Half
254,8,Animal Farm
254,8,Something Wicked This Way Comes
254,9,Sandman: The Dream Hunters
638,10,Snow Falling on Cedars
638,9,The Lake House
638,10,Four Blind Mice
638,9,2nd Chance
638,10,The Catcher in the Rye
638,9,A Time to Kill
638,10,A Map of the World
638,10,The Da Vinci Code
638,10,Skipping Christmas
638,9,Big Trouble
638,10,Message in a Bottle
638,9,The Rescue
638,9,A Walk to Remember
638,10,The Guardian
638,10,Nights in Rodanthe
638,10,The Reader
638,7,"Girl, Interrupted"
638,10,If Only It Were True
638,9,Man and Boy
805,9,Ironweed
805,9,Life of Pi
805,8,White Teeth
805,10,One Hundred Years of Solitude
805,8,Dragonfly in Amber
805,10,Invisible Man
882,10,Bridge to Terabithia
882,10,The Thorn Birds
882,10,The Da Vinci Code
882,10,Eva Luna
882,10,The Alienist
882,10,Snow Falling on Cedars
1131,7,Ellen Foster
1131,7,The Big Sleep
1131,7,Sense and Sensibility
1131,8,Emma
1131,7,A Civil Action
1131,7,Good in Bed
1424,7,The Poisonwood Bible
1424,8,Prey
1424,6,Independence Day
1424,5,The Bean Trees
1424,7,Year of Wonders
1424,6,The Stone Carvers
1424,6,East of the Mountains
1424,7,The Far Pavilions
1424,7,Eclipse
1424,6,An Indecent Obsession
1424,7,A Map of the World
1424,8,Ethan Frome
1424,8,Heat and Dust
1424,8,Plain Truth
1424,7,Atonement
1424,6,The Joy Luck Club
1424,6,Tea from an Empty Cup
1424,8,Oyster
1435,10,The Bean Trees
1435,5,Congo
1435,5,The Cider House Rules
1435,5,The Tommyknockers
1435,10,The Cabinet of Curiosities
1435,7,A Case of Need
1435,9,The Empty Chair
1435,10,The Kitchen God's Wife
1435,6,Even Cowgirls Get the Blues
1585,7,The Murder Book
1585,6,Lucky You
1585,6,City of Bones
1585,8,The Handmaid's Tale
1585,6,When the Bough Breaks
1674,9,Love Medicine
1674,7,Enchantment
1674,1,Gloriana
1674,5,The Sparrow
1674,10,Wuthering Heights
1733,10,The Surgeon
1733,7,Strangers
1733,7,The Other Side of Midnight
1733,5,The Stars Shine Down
1733,7,Surrender
1848,10,Life of Pi
1848,10,Fahrenheit 451
1848,8,The Andromeda Strain
1848,8,Timeline
1848,10,King Lear
1848,10,The Five People You Meet in Heaven
2033,10,The Giving Tree
2033,5,Interview with the Vampire
2033,10,Charlie and the Chocolate Factory
2033,7,The Hero and the Crown
2033,8,Babyhood
2033,7,Spindle's End
2033,10,Kushiel's Dart
2033,10,Hart's Hope
2033,10,Songmaster
2033,8,The Call of Earth
2033,9,Wyrms
2033,7,Saints
2033,10,Ender's Shadow
2033,10,Love You Forever
2110,10,Journey to the Center of the Earth
2110,5,Life of Pi
2110,10,Splinter of the Mind's Eye
2110,9,Thinner
2110,3,The Cat Who Brought Down the House
2110,10,Damnation Alley
2110,7,Under a War-Torn Sky
2110,10,The Time Machine
2276,8,The Associate
2276,8,Area 7
2276,10,The Janson Directive
2276,8,Restoree
2276,9,Dinosaur Planet Survivors
2276,9,Thrice Upon a Time
2276,8,The Steerswoman
2276,9,The Silver Wolf
2276,9,The Apprentice
2276,9,Watership Down
2276,10,One Child
2276,8,All Fall Down
2276,5,Skipping Christmas
2276,8,Floating Dragon
2276,8,Mutation
2276,8,The Gift
2276,10,King Rat
2276,10,The Runaway Jury
2276,10,The Brethren
2276,10,Black Fire
2276,9,Conjure Wife
2276,8,The Children of Men
2276,10,2nd Chance
2276,9,Angel Eyes
2276,10,Strands of Starlight
2276,10,Maze of Moonlight
2276,10,Shroud of Shadow
2276,10,Strands of Sunlight
2276,10,Blackout
2276,10,The Bourne Supremacy
2276,7,With Child
2276,9,Dust to Dust
2276,9,Uhura's Song
2276,5,Dirk Gently's Holistic Detective Agency
2276,9,No Way Out
2276,8,The Serpent's Shadow
2276,10,Arrow's Fall
2288,10,Lightning
2288,5,Mr. Murder
2288,10,Watchers
2288,5,The Scarlet Letter
2288,9,By the Light of the Moon
2337,7,I Know This Much Is True
2337,8,The Secret Life of Bees
2337,9,The Mists of Avalon
2337,7,Skipping Christmas
2337,9,Joy
2337,9,Atlas Shrugged
2337,8,The Fountainhead
2337,10,Hinds' Feet on High Places
2766,8,Five Quarters of the Orange
2766,9,Two Old Women
2766,9,Matilda
2766,9,Watership Down
2766,7,Skipping Christmas
2766,5,Big Trouble
2766,8,Circle of Friends
2766,8,The Glass Lake
2766,7,Tales of a Fourth Grade Nothing
2766,10,To Kill a Mockingbird
2766,7,A Bend in the Road
2766,9,The Wicked Day
2766,7,In His Steps
2891,7,The Secret Life of Bees
2891,5,Life of Pi
2891,9,Oryx and Crake
2891,6,Parable of the Talents
2891,7,The Bondwoman's Narrative
2891,9,The Sparrow
2891,7,Othello
2891,7,Bellwether
2891,8,Invisible Man
2891,7,The Joy Luck Club
2891,9,A Fine Balance
2891,6,Pride and Prejudice
2891,6,The Shadow of the Wind
2977,7,Year of Wonders
2977,5,"Breath, Eyes, Memory"
2977,3,Surfacing
2977,7,Bodily Harm
2977,9,Hocus Pocus
2977,10,Henry VIII
3145,7,The Godwulf Manuscript
3145,9,The Firm
3145,8,Holes
3145,8,Tourist Season
3145,9,Presumed Innocent
3145,8,City of Bones
3145,9,Basket Case
3167,7,The Lives of Christopher Chant
3167,10,"Over Sea, Under Stone"
3167,5,Interview with the Vampire
3167,9,Jurassic Park
3167,7,The Lost World
3167,8,Jonathan Livingston Seagull
3167,9,The Hound of the Baskervilles
3167,10,A Wrinkle in Time
3167,7,Jaws
3167,7,The Cat Who Could Read Backwards
3167,8,Black Sunday
3167,10,Dragonsong
3167,9,Contact
3167,8,The Secret Garden
3346,5,"Over Sea, Under Stone"
3346,8,The Hero and the Crown
3346,6,American Gods
3346,7,Winter Rose
3346,8,Ombria in Shadow
3346,7,The Blue Sword
3346,8,Hexwood
3346,10,Stardust
3363,7,The Screwtape Letters
3363,10,Walk Two Moons
3363,7,Clear Light of Day
3363,9,Paradise of the Blind
3363,6,Master Harold...and the Boys
3363,10,An Acquaintance with Darkness
3363,8,Wayside School is Falling Down
3363,10,The Princess Diaries
3363,10,Emily of New Moon
3363,10,Emily's Quest
3363,9,The Perks of Being a Wallflower
3363,9,Because of Winn-Dixie
3373,7,House of Sand and Fog
3373,7,Paradise Lost
3373,7,Surviving the Applewhites
3373,6,The Sign of the Beaver
3373,5,Deception Point
3817,8,The Thorn Birds
3817,9,The Hot Zone
3817,7,Red Dragon
3817,10,The Outsiders
3817,7,The Catcher in the Rye
3827,10,The BFG
3827,7,Interview with the Vampire
3827,9,The Diamond Age
3827,10,Kushiel's Dart
3827,10,The Bonesetter's Daughter
3917,10,Generation X: Tales for an Accelerated Culture
3917,7,Cat's Cradle
3917,5,Thumbsucker
3917,7,The Big Sleep
3917,7,The Beach
