Name,Birth Year,Genres,Books
Amy Tan,1952.0,"[""Children's book""]","['The Joy Luck Club (novel)', ""The Kitchen God's Wife"", 'The Hundred Secret Senses', ""The Bonesetter's Daughter"", 'Saving Fish from Drowning', 'The Valley of Amazement', 'The Joy Luck Club (novel)', ""The Kitchen God's Wife"", 'The Hundred Secret Senses', ""The Bonesetter's Daughter"", 'Saving Fish from Drowning', 'The Valley of Amazement', 'The Chinese Siamese Cat']"
John Grisham,1955.0,"['Legal thriller', ' young adult']","['A Time to Kill (Grisham novel)', 'Sycamore Row', 'Rogue Lawyer', 'The Whistler (novel)', ""The Judge's List"", 'The Firm (novel)', 'The Pelican Brief', 'The Client (novel)', 'The Chamber (novel)', 'The Rainmaker (novel)', 'The Runaway Jury', 'The Partner (Grisham novel)', 'The Street Lawyer', 'The Brethren (Grisham novel)', 'The Summons (Grisham novel)', 'The King of Torts', 'The Last Juror', 'The Broker', 'The Appeal', 'The Associate (novel)', 'The Confession (novel)', 'The Litigators', 'The Racketeer (novel)', 'The Rooster Bar', 'The Reckoning (Grisham novel)', 'Theodore Boone: The Abduction', 'Theodore Boone: The Accused', 'Theodore Boone: The Activist', 'Theodore Boone: The Fugitive', 'Theodore Boone: The Scandal']"
Michael Crichton,1942.0,,"['The Andromeda Strain', 'The Terminal Man', 'The Great Train Robbery (novel)', 'Eaters of the Dead', 'Congo (novel)', 'Sphere (novel)', 'Jurassic Park (novel)', 'Rising Sun (Crichton novel)', 'Disclosure (novel)', 'The Lost World (Crichton novel)', 'Airframe (novel)', 'Timeline (novel)', 'Prey (novel)', 'State of Fear', 'Next (Crichton novel)', 'Odds On', 'Scratch One', 'Easy Go (novel)', 'A Case of Need', 'Zero Cool', 'Drug of Choice', 'Dealing: or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues', 'Grave Descend', 'Binary (novel)', 'The Andromeda Evolution', 'Five Patients', 'Jasper Johns (book)', 'Electronic Life', 'Travels (book)', 'The Lost World: Jurassic Park', 'Jurassic World: Fallen Kingdom']"
Harper Lee,1926.0,['Fiction'],"['To Kill a Mockingbird', 'Go Set a Watchman', 'To Kill a Mockingbird', 'Go Set a Watchman']"
Barbara Kingsolver,1955.0,Historical fiction,[]
Jane Austen,1775.0,,"['Sense and Sensibility', 'Pride and Prejudice', 'Mansfield Park', 'Northanger Abbey', 'Persuasion (novel)']"
Dean Koontz,1945.0,,"['The Flesh in the Furnace', 'Chase (novel)', 'Shattered (Koontz novel)', 'Dragonfly (Koontz novel)', 'Invasion (Koontz novel)', 'Night Chills', 'The Face of Fear', 'The Vision (novel)', 'The Key to Midnight', 'The Voice of the Night', 'The Funhouse (novel)', 'Whispers (Koontz novel)', 'The Mask (Koontz novel)', 'The Eyes of Darkness', 'The House of Thunder', 'Phantoms (novel)', 'Darkfall (Koontz novel)', 'The Servants of Twilight', 'Twilight Eyes', 'The Door to December', 'Strangers (Koontz novel)', 'Watchers (novel)', 'Shadow Fires', 'Midnight (Koontz novel)', 'The Bad Place', 'Cold Fire (Koontz novel)', 'Hideaway (novel)', 'Mr. Murder (novel)', 'Dragon Tears', 'Invasion (Koontz novel)', 'Dark Rivers of the Heart', 'Icebound (novel)', 'Intensity (novel)', 'Ticktock (novel)', 'Sole Survivor (novel)', 'Fear Nothing', 'Seize the Night (novel)', 'False Memory (novel)', 'From the Corner of His Eye', 'One Door Away from Heaven', 'By the Light of the Moon (novel)', 'The Face (Koontz novel)', 'Odd Thomas (novel)', 'The Taking', 'Life Expectancy (novel)', 'Prodigal Son (novel)', 'Velocity (novel)', 'City of Night (Koontz and Gorman novel)', 'Forever Odd', 'The Husband', 'Brother Odd', 'The Good Guy', 'The Darkest Evening of the Year', 'Odd Hours', 'Your Heart Belongs to Me (novel)', 'Relentless (Koontz novel)', 'Dead and Alive (Koontz novel)', 'Breathless (novel)', 'Lost Souls (Koontz novel)', 'What the Night Knows', 'The Dead Town', 'Odd Apocalypse', 'Deeply Odd', 'Mr. Murder (miniseries)']"
Nora Roberts,1950.0,"['Romance', ' romantic suspense']","['Naked in Death', 'Glory in Death', 'Vengeance in Death', 'Conspiracy in Death', 'Loyalty in Death', 'Purity in Death', 'Portrait in Death', 'Remember When (novel)', 'Origin in Death', 'Memory in Death', 'Promises in Death', 'Treachery in Death', 'Festive in Death', 'Vision in White', 'Bed of Roses (novel)', 'Sea Swept', 'Carolina Moon (novel)']"
Anne Tyler,1941.0,,"['The Tin Can Tree', 'A Slipping-Down Life (novel)', 'The Clock Winder', 'Celestial Navigation (novel)', 'Searching for Caleb', 'Earthly Possessions (novel)', ""Morgan's Passing"", 'Dinner at the Homesick Restaurant', 'The Accidental Tourist', 'Breathing Lessons', 'Saint Maybe', 'Ladder of Years', 'A Patchwork Planet', 'Back When We Were Grownups', 'The Amateur Marriage', ""Noah's Compass"", ""The Beginner's Goodbye"", 'Vinegar Girl', 'Clock Dance', 'The Tin Can Tree', 'A Slipping-Down Life (novel)', 'The Clock Winder', 'Celestial Navigation (novel)', 'Searching for Caleb', 'Earthly Possessions (novel)', ""Morgan's Passing"", 'Dinner at the Homesick Restaurant', 'The Accidental Tourist', 'Breathing Lessons', 'Saint Maybe', 'Ladder of Years', 'A Patchwork Planet', 'Back When We Were Grownups', 'The Amateur Marriage', ""Noah's Compass"", ""The Beginner's Goodbye"", 'A Spool of Blue Thread', 'Vinegar Girl', 'Clock Dance']"
Benjamin Hoff,,,[]
