Book Title,Author,Publication Year,Genres,Summary,Rating Count,Average Rating,Number of Pages,Best Seller,Film,Saga,Preceded by,Followed by
Studs Lonigan,Joseph Krumgold,1960,,,,,,False,True,,,
In the Forests of the Night,Amelia Atwater-Rhodes,1999,"['Gothic', ' Horror', ' Vampire', ' Teen']","According to Atwater-Rhodes' official site, The Den of Shadows, In the Forests of the Night is one of seven novels that she had finished writing and is the first she published. The inspiration for the novel came from an assignment she received in the seventh grade when her best friend Jessica had chosen ""The Tyger"" for the assignment. The character of Risika was taken from the brief mention in Atwater-Rhodes' unpublished novel, Red Wine. She began working on the novel in 1997, under the title White Wine. During the writing process, Atwater-Rhodes suffered from writer's block and a computer crash, causing her to lose most of her work on the novel, and thus resulted in some changes to the plotline. In the original manuscript, the character of Ather, an antagonist, was changed to Aubrey after the crash.[1] She finished the novel in August of that year and spent the next four months revising the manuscript. She then sent the manuscript in December 1997 and by mid-February 1998 she met her agent, Tom Hart, who later called her and informed her that Random House would publish the novel on her fourteenth birthday; however, the novel was pushed back and released a little over a year later in May 1999.
",,,147,False,False,Den of Shadows,,Demon in My View(2000)
Demon in My View,Amelia Atwater-Rhodes,2000,"['Gothic', ' Horror', ' Vampire', ' Teen']","The book is set in the fictional town of Ramsa, New York, and centers around teenager Jessica Ashley Allodola. Jessica is gorgeous and has a perfect body, but the people in her town avoid her. At Ramsa High, many students are afraid of her and some think she's a witch. Instead of trying to bond to people, Jessica writes books about vampires and witches. She has just published her first book, ""Tiger, Tiger"", under the pen name Ash Night.
",,,176,False,False,Den of Shadows,In the Forests of the Night(1999),Shattered Mirror(2001)
Shattered Mirror,Amelia Atwater-Rhodes,2001,"['Gothic', ' Horror', ' Vampire', ' Teen']",,,,227,False,False,Den of Shadows,Demon in My View(2000),Midnight Predator(2002)
Midnight Predator,Amelia Atwater-Rhodes,2002,"['Gothic', ' Horror', ' Vampire', ' Teen']",,,,248,False,False,Den of Shadows,Shattered Mirror(2001),Hawksong(2003)
Persistence of Memory,Amelia Atwater-Rhodes,2008,"['Gothic', ' Horror', ' Teen', ' Vampire']",,,,212,False,False,Den of Shadows,Wyvernhail,Token of Darkness
Token of Darkness,Amelia Atwater-Rhodes,2010,"['Gothic', ' Horror', ' Teen']",,,,197,False,False,Den of Shadows,Persistence of Memory,All Just Glass
Poison Tree (novel),Amelia Atwater-Rhodes,2012,"['Gothic', ' Horror', ' Teen', ' Vampire']",,,,219,False,True,Den of Shadows,All Just Glass,Promises to Keep
Hawksong,Amelia Atwater-Rhodes,2003,"['Horror', ' Fantasy novel', ' Romance']","The book centers on two different kinds of shapeshifters: the avians and the serpiente. The avians have birds for second forms and their royal line consists of golden hawks. Their leader is the Tuuli Thea, or queen. The queen's pair bond is called her Alistair. Avian culture is uptight and strict, and it centers on, ""avian reserve,"" the ability to keep complete control of one's emotions at all times. Avians do not lose their temper and they do not cry, no matter what the situation. The serpiente have the second form of a snake. Their royal line is the Cobriana, cobra shapeshifters descended from Kiesha, and their king is called the Diente. Their queen is the Naga. Serpiente wear sensual outfits and are free with their emotions, even in situations where some control might be appropriate. They are passionate and sometimes violent, the complete opposite of the avians. The two groups have been at war beyond living memory, so that nobody even remembers how the fighting started. The reason behind the war starting is given in Falcondance. All they know is that they hate each other and they will keep fighting until one of them is destroyed.
",,,243,False,False,The Kiesha'ra Series,Midnight Predator(2002),Snakecharm(2004)
Snakecharm,Amelia Atwater-Rhodes,2004,['Fantasy novel'],"Danica has begun to fit into serpiente society more and more, but other people do not have her courage or motivation. The avians and the serpiente, in spite of the royal union, are hardly warming up to each other. Neither of the sides is willing to try to join the other. Stirring things up is Syfka, a powerful aplomado falcon who has just arrived to drag a falcon criminal back to the island of Ahnmik.
",,,167,False,False,The Kiesha'ra Series,Hawksong,Falcondance
Falcondance,Amelia Atwater-Rhodes,2005,['Fantasy novel'],"Nicias Silvermead is the child of Kel and Andreios, and the grandson of Araceli, heir to the falcon Empress Cjarsa. When his magic awakens he is forced to travel to Ahnmik in order to learn to control it before it kills him. On Ahnmik Nicias discovers much more than just a way to control his magic. Araceli and Cjarsa hide the shocking secret that they started the avian-serpiente war by creating the avians through the human child Alasdair and giving half of Anhamirak's magic to them. He also finds Hai, half gyrfalcon and half cobra, she is the child of Anjay Cobriana and first in line to the serpiente throne. In between these powerful players and the seduction and deception of the falcon island, Nicias must try to find a way to return home, if he can.
",,,183,False,False,The Kiesha'ra Series,Snakecharm,Wolfcry
Wyvernhail,Amelia Atwater-Rhodes,2007,['Fantasy novel'],"Wyvernhail is the story of Hai - the mongrel daughter of the Falcon Darien and Zane's older brother, Anjay - putting her in line for the Cobriana throne (though crippled and powerless). Hai is a creature out of place - not Avian, but a falcon poisoned with cobra blood .
",,,192,False,False,The Kiesha'ra Series,Wolfcry,Persistence of Memory
Alice's Adventures in Wonderland,Lewis Carroll,1865,['Portal fantasyLiterary nonsense'],"Alice's Adventures in Wonderland was inspired when, on 4 July 1862, Lewis Carroll and Reverend Robinson Duckworth rowed up The Isis with the three young daughters of Carroll's friend Henry Liddell:[6][7] Lorina Charlotte (aged 13; ""Prima"" in the book's prefatory verse); Alice Pleasance (aged 10; ""Secunda"" in the verse); and Edith Mary (aged 8; ""Tertia"" in the verse).[8]
",,,,False,True,,,Through the Looking-Glass
Phantasmagoria (poem),Lewis Carroll,1869,,,,,,,,,,
Sylvie and Bruno,Lewis Carroll,1889,['Fantasy'],"Two short pieces, ""Fairy Sylvie"" and ""Bruno's Revenge"", originally appeared in Aunt Judy's Magazine in 1867. Some years later, in 1873 or 1874, Carroll had the idea to use these as the core for a longer story.[1] Much of the rest of the novel he compiled from notes of ideas and dialogue which he had collected over the years (and which he called ""litterature"" in the introduction to the first volume).
",,,400423,False,True,,,
The Game of Logic,Lewis Carroll,1887,,,,,,,,,,
Adventures in Wonderland,Lewis Carroll,1992,,"The series originally ran from March 23, 1992[3][4] to 1995 (with reruns continuing until at least 1998[5]) on The Disney Channel and on stations across the country. Adventures in Wonderland was originally taped at Disney-MGM Studios at the Walt Disney World Resort in Bay Lake, Florida, with two sound stages used exclusively for the show, for its first 40 episodes. Afterward, shooting was moved to Los Angeles, California.[6][7]
",,,,False,True,,,
Alice in the Country of Hearts,Lewis Carroll,2007,,"Alice Liddell is an insecure girl who is overshadowed by her sister's beauty and grace. During one of their outings, Alice's sister goes to get a deck of cards for a game while Alice falls asleep. When a white rabbit comes and encourages her to chase him, Alice assumes she is dreaming and tries to go back to napping until the rabbit turns into a man with white rabbit ears and carries her off. Peter White (the White Rabbit) throws Alice into a hole that appears in her yard and jumps in after her. When they land in a strange, open area, Peter starts confessing his undying love for her. He tells her to drink a 'medicine' but when she refuses, he simply pours the liquid into his mouth and then kisses her, forcing her to drink it. It is later revealed that whoever drinks this medicine, participates in a game, so says Peter. Alice learns that she is in Wonderland and the only way she might be able to return to her world is to interact and spend time with the strange people in Wonderland, which slowly refills the vial. However, Wonderland is going through violent times—everyone is reckless and uncaring as to who lives or dies, and with a civil war going on everyone in the strange world finds it hard to trust each other with an instinct to kill.
",,,,False,True,,,
A New Alice in the Old Wonderland,Lewis Carroll,1895,['Fantasy novel'],,,,309,False,True,,,
New Adventures of Alice,Lewis Carroll,1917,['Fantasy novel'],,,,160,False,True,,,
Alice Through the Needle's Eye,Lewis Carroll,1984,['Fantasy'],"Alice spends a winter day continuously failing to thread a sewing needle. When she takes an extremely close look through the eye of the needle, she sees an unknown world on the other side, and finds herself falling through the needle's eye into this world. 
",,,184,False,True,,Alice's Adventures in Wonderland(1865)andThrough the Looking-Glass(1871),
Automated Alice,Lewis Carroll,1996,['Steampunk'],"The story of Automated Alice tells of the character of Alice from Lewis Carroll's books in a future version of Manchester, England. After following her Great Aunt Ermintrude's parrot Whippoorwill through a grandfather clock, Alice and Alice's doll Celia get lost in a world inhabited by Newmonians, entities made from two objects combined, for example a zebra and a human.
",,,,False,True,Vurt series,Pollen,Nymphomation
Clara in Blunderland,Lewis Carroll,1902,"['Fantasy novel', ' parody']",,,,150,False,True,,,Lost in Blunderland
Lost in Blunderland,Lewis Carroll,1903,"['Fantasy novel', ' parody']",,,,150,False,True,,Clara in Blunderland,
John Bull's Adventures in the Fiscal Wonderland,Lewis Carroll,1904,"['Fantasy novel', ' parody']",,,,152,False,True,,,
Alice in Blunderland: An Iridescent Dream,Lewis Carroll,1904,"['Fantasy novel', ' parody']","Alice travels to Blunderland where nothing is supposed to be, children live in the Municipal House of the Children and the Duchess and the City are their parents. Familiar characters made famous by Alice in Wonderland make appearances in the book, including the dormouse, the Mad Hatter, the Cheshire Cat and others.[2]
",,,1241,False,True,,,
Davy and the Goblin,Lewis Carroll,1884,['Fantasy novel'],,,,164,False,True,,,
