User-ID,Location,Age,Rating Count,Average Rating
243,"arden hills, minnesota, usa",,7.0,8.142857142857142
254,"minneapolis, minnesota, usa",24.0,12.0,8.583333333333334
638,"san diego, california, usa",20.0,19.0,9.473684210526315
805,"sonoma, california, usa",34.0,6.0,9.0
882,"berkeley, california, usa",23.0,6.0,10.0
1131,"berkeley, ,",22.0,6.0,7.166666666666667
1424,"north avoca, new south wales, australia",,18.0,6.833333333333333
1435,"st. louis, missouri, usa",36.0,9.0,7.444444444444445
1585,"albuquerque, new mexico, usa",29.0,5.0,6.6
1674,"minneapolis, minnesota, usa",26.0,5.0,6.4
1733,"independence, west virginia, usa",30.0,5.0,7.2
1848,"bellingham, washington, usa",22.0,6.0,9.333333333333334
2033,"omaha, nebraska, usa",27.0,14.0,8.642857142857142
2110,"charlotte, north carolina, usa",,8.0,8.0
2276,"niskayuna, new york, usa",46.0,37.0,8.837837837837839
2288,"spring hill, tennessee, usa",30.0,5.0,7.8
2337,"grove city, ohio, usa",34.0,8.0,8.375
2766,"frisco, texas, usa",42.0,13.0,7.923076923076923
2891,"beaverton, oregon, usa",,13.0,7.153846153846154
2977,"richland, washington, usa",25.0,6.0,6.833333333333333
3145,"austin, texas, usa",34.0,7.0,8.285714285714286
3167,"milwaukee, wisconsin, usa",42.0,14.0,8.142857142857142
3346,"tehran, tehran, iran",20.0,8.0,7.375
3363,"knoxville, tennessee, usa",29.0,12.0,8.75
3373,"elk grove, california, usa",30.0,5.0,6.4
3817,"columbia, south carolina, usa",29.0,5.0,8.2
3827,"orlando, florida, usa",23.0,5.0,9.2
3917,"toronto, ontario, canada",25.0,6.0,7.333333333333333
4017,"new orleans, louisiana, usa",48.0,25.0,9.04
4197,"anchorage, alaska, usa",61.0,5.0,7.2
4334,"rome, lazio, italy",38.0,8.0,7.125
4785,"litchfield, connecticut, usa",30.0,6.0,6.666666666666667
5037,"dodge center, minnesota, usa",26.0,6.0,7.666666666666667
5499,"lakeland, tennessee,",60.0,5.0,10.0
5582,"seattle, washington, usa",26.0,14.0,8.785714285714286
6073,"houston, texas, usa",28.0,20.0,8.05
6238,"silsden, keighley, west yorkshire, united kingdom",38.0,7.0,8.857142857142858
6242,"calgary, alberta, canada",,22.0,6.318181818181818
6251,"wahiawa, hawaii, usa",32.0,38.0,8.789473684210526
6323,"wilmington, north carolina, usa",35.0,11.0,5.545454545454546
6532,"new westminster, british columbia, canada",,9.0,8.0
6543,"strafford, missouri, usa",34.0,23.0,7.913043478260869
6563,"burien, washington, usa",31.0,16.0,8.0625
6575,"seattle, washington, usa",,44.0,7.204545454545454
7105,"chertsey, england, united kingdom",,5.0,8.6
7125,"apo, ae, usa",28.0,7.0,8.0
7158,"omaha, nebraska, usa",30.0,21.0,7.904761904761905
7210,"rothesay, new brunswick, canada",,7.0,8.0
7283,"saint marys, georgia, usa",30.0,13.0,8.538461538461538
7286,"pasco, washington, usa",28.0,6.0,9.5
7346,"sunnyvale, california, usa",49.0,57.0,8.192982456140351
7841,"salt lake city, utah, usa",,12.0,8.5
